mode,name,Shape,Dtype,Dtype range,Actual range,Mean,Median,Laplace std,Otsu threshold,Pixels above otsu,Pixels below otsu,Percentage above otsu
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile66.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 3247)",374.7975365,416.0,0.0018306357048173693,285.380859375,2772659,1227341,69.316475
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile67.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 3873)",444.90254425,463.0,0.002028933857631716,295.013671875,3304564,695436,82.61410000000001
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile68.tif","(2000, 2000)",uint16,"(0, 65535)","(188, 4043)",559.7384385,531.0,0.002237737749229729,602.111328125,1306376,2693624,32.6594
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile69.tif","(2000, 2000)",uint16,"(0, 65535)","(229, 4062)",586.7415885,572.0,0.002310175233760462,610.802734375,1459523,2540477,36.488074999999995
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile7.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 3489)",19.23077525,0.0,0.000562774935443296,211.248046875,149465,3850535,3.7366249999999996
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile70.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 3685)",509.37011925,509.0,0.002131535631739471,280.693359375,3704072,295928,92.6018
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile71.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 3925)",501.68171975,534.0,0.0021521999131668187,344.970703125,3052081,947919,76.302025
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile72.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",659.7549875,577.0,0.0024536322632439773,1639.599609375,136478,3863522,3.4119499999999996
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile73.tif","(2000, 2000)",uint16,"(0, 65535)","(92, 4095)",867.55576875,784.0,0.0028549717047159206,1241.298828125,581372,3418628,14.5343
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile74.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 1223)",62.7685655,0.0,0.0005395509184236346,78.826171875,1523993,2476007,38.099824999999996
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile75.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile76.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 543)",132.9042355,132.0,0.0006728993608039323,132.568359375,1946072,2053928,48.6518
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile77.tif","(2000, 2000)",uint16,"(0, 65535)","(47, 4095)",475.01686375,459.0,0.001968057601684379,481.84375,1924686,2075314,48.117149999999995
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile78.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4062)",340.5347695,349.0,0.0017483288388142721,325.27734375,2106209,1893791,52.65522500000001
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile79.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile8.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 2560)",115.57149925,0.0,0.0009801612312155357,335.0,458017,3541983,11.450425000000001
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile80.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile81.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile82.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",143.07820475,0.0,0.001222155067970177,279.931640625,1015306,2984694,25.38265
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile83.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",431.35993375,500.0,0.0020587202941826184,279.931640625,3083809,916191,77.095225
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile84.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",523.43142625,608.0,0.0022923288254378406,327.919921875,3093721,906279,77.343025
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile85.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",314.911038,0.0,0.0018948204093626507,343.916015625,1791883,2208117,44.797075
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile86.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",162.45302475,0.0,0.0014140384910288587,503.876953125,640791,3359209,16.019775
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile87.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",547.084073,499.0,0.00236816952790336,1047.744140625,453636,3546364,11.3409
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile88.tif","(2000, 2000)",uint16,"(0, 65535)","(130, 4095)",1024.0893435,980.0,0.003035087277165041,1206.435546875,1068306,2931694,26.70765
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile89.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",379.78608225,0.0,0.0019442432910613625,1063.740234375,633996,3366004,15.8499
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile9.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 3052)",251.43868825,146.0,0.001294002886470155,351.6953125,1026997,2973003,25.674924999999998
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile90.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile91.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 313)",93.551082,122.0,0.0005744349761719578,65.412109375,2835947,1164053,70.898675
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile92.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 1578)",94.1974515,122.0,0.0005649071728573397,64.72265625,2868145,1131855,71.703625
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile93.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 616)",87.9635195,119.0,0.0005580364860345114,63.765625,2689162,1310838,67.22905
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile94.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile95.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile96.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile97.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile98.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile99.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
